OBJECTID;TARGET_FID;CUT;REGION;PROVINCIA;COMUNA;COD_URBANO_CENSO;URBANO_CENSO;TIPO_EP;NOMBRE_EP;OBSERVACIONES;SUP_TOTAL_M2;USO;ID_TEXT;FUENTE;NOMBRE_MINVU;EXTENSION;Aplicabili;Cierres;Valor_pers;Valor_veh;Bancas_escanos;Maquinas_ejerc;Infraest_deportiva;Cancha_Skatepark;Basureros;Banos;Banos_accesibles;Luminarias;Limpieza;VentaConsum_drogas;Estratos_vegetacion;Estado_vegetacion;Fecha_encuesta;MG;VG;AU;SG;DE;CALIDAD;RANGO_CALIDAD;;N°;CAMPO;TIPO;DESCRIPCIÓN;DOMINIO;DESCRIPCIÓN DE LOS DOMINIOS
3393;31552;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PARQUE;DE LOS REYES; ;122.907,4;PÚBLICO;1310110001;MINVU;PARQUE DE LOS REYES;INTERCOMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_buen_estado;Hay_general_buen_estado;Hay_general_buen_estado;Hay_general_buen_estado;Hay_general_buen_estado;Hay_general_buen_estado;Hay_general_buen_estado;Hay_general_buen_estado;Bueno;No;Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m,Estrato_alto_arbol_más_5m;Bueno;01-02-2019;100,00;100,00;80,00;100,00;83,33;91,75;RANGO SUPERIOR;;1;OBJECTID;Número;Número correlativo de los registros de la base de datos.;;
17383;90140;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PARQUE;DE LOS REYES; ;39.792,1;PÚBLICO;1310110001;MINVU;PARQUE DE LOS REYES;INTERCOMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_buen_estado;No_hay;No_hay;No_hay;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;Bueno;No;Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m,Estrato_alto_arbol_más_5m;Bueno;12-02-2019;100,00;100,00;65,00;100,00;48,33;80,50;RANGO SUPERIOR;;2;TARGET_FID;Número;Número asignado en forma automática por el software a cada registro en la base de datos.;;
17384;90141;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PARQUE;DE LOS REYES; ;1.745,8;PÚBLICO;1310110001;MINVU;PARQUE DE LOS REYES;INTERCOMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_buen_estado;No_hay;No_hay;No_hay;No_hay;No_hay;No_hay;Hay_general_buen_estado;Bueno;No;Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m;Bueno;12-02-2019;100,00;75,00;42,50;50,00;33,33;60,81;RANGO INTERMEDIO;;3;CUT;Número;Código Único Territorial. Corresponde al código de la comuna.;;
2026;27739;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA; ; ;779,5;PÚBLICO;1310110006;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_buen_estado;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;Regular;No;Ninguno_anteriores;Regular;31-01-2019;62,00;0,00;35,00;100,00;61,67;41,58;RANGO INFERIOR;;4;REGION;Texto;Nombre de la región.;;
18402;27740;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA; ; ;527,5;PÚBLICO;1310110007;RA O FI; ;COMUNAL;No_visitado;SIN INFORMACIÓN;S/I;S/I;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN; ;-1,00;-1,00;-1,00;-1,00;-1,00;-1,00;SIN INFORMACIÓN;;5;PROVINCIA;Texto;Nombre de la provincia.;;
2027;27744;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA;ANDACOLLO; ;1.085,8;PÚBLICO;1310110011;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_estado_regular;No_hay;No_hay;No_hay;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;Regular;No;Ninguno_anteriores;No_aplica;31-01-2019;31,00;0,00;70,00;100,00;60,00;42,25;RANGO INFERIOR;;6;COMUNA;Texto;Nombre de la comuna.;;
2028;27745;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA;EUSEBIO LILLO; ;1.288,7;PÚBLICO;1310110012;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_estado_regular;No_hay;No_hay;No_hay;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;Bueno;Si;Estrato_bajo_20cm_aprox;Regular;30-01-2019;80,00;25,00;57,50;50,00;60,00;55,13;RANGO INFERIOR;;7;COD_URBANO_CENSO;Número;Código del centro urbano.;;
2029;27748;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA; ; ;1.189,5;PÚBLICO;1310110015;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Con_cierre_perim_gratuito;0;0;Hay_general_estado_regular;No_hay;No_hay;No_hay;No_hay;No_hay;No_hay;Hay_general_buen_estado;Bueno;No;Estrato_bajo_20cm_aprox;Regular;30-01-2019;79,00;25,00;70,00;100,00;40,00;56,50;RANGO INFERIOR;;8;URBANO_CENSO;Texto;Nombre del centro urbano de Censo 2017.;;
2030;27751;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA; ;GENERAL BULNES / HUÉRFANOS;767,7;PÚBLICO;1310110018;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;No_hay;No_hay;No_hay;No_hay;No_hay;No_hay;No_hay;Hay_general_estado_regular;Regular;No;Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m;Regular;30-01-2019;56,00;50,00;10,00;80,00;20,00;37,00;RANGO INFERIOR;;9;TIPO_EP;Texto;Tipo de espacio público.;PLAZA;Polígono de espacio público cuya área mide desde 450 m² y es menor a 20.000 m².
2031;27753;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA;IRLANDA; ;945,1;PÚBLICO;1310110021;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_estado_regular;No_hay;No_hay;No_hay;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;Bueno;Si;Estrato_alto_arbol_más_5m;Bueno;31-01-2019;98,50;25,00;70,00;50,00;80,00;66,88;RANGO INTERMEDIO;;;;;;PARQUE;Polígono de espacio público cuya área mide desde 20.000 m².
2032;27755;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA;JERUSALÉN; ;2.841,4;PÚBLICO;1310110023;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_buen_estado;No_hay;No_hay;No_hay;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;Bueno;No;Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_alto_arbol_más_5m;Bueno;31-01-2019;100,00;75,00;47,50;100,00;60,00;72,63;RANGO INTERMEDIO;;10;NOMBRE_EP;Texto;Nombre de la plaza o parque.;;
2033;27756;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA; ; ;606,8;PÚBLICO;1310110024;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_estado_regular;No_hay;No_hay;No_hay;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;Bueno;No;Estrato_bajo_20cm_aprox,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m,Estrato_alto_arbol_más_5m;Bueno;31-01-2019;98,00;75,00;47,50;100,00;60,00;72,13;RANGO INTERMEDIO;;11;OBSERVACIONES;Texto;Información adicional encontrada durante el levantamiento de información mediante fotointerpretación o contenida en los registros administrativos.;;
2034;27757;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA;PATRICIO MEKIS; ;1.522,1;PÚBLICO;1310110025;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_buen_estado;No_hay;No_hay;No_hay;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;Bueno;No;Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_alto_arbol_más_5m;Bueno;30-01-2019;100,00;75,00;70,00;100,00;61,67;78,58;RANGO SUPERIOR;;12;SUP_TOTAL_M2;Número;Superficie en metros cuadrados (m²) de cada registro. Para el cálculo de superficie se utilizó SIRGAS 2000 en coordenadas UTM 19 Sur desde la Región de Arica y Parinacota hasta la Región del Maule, y 18 Sur desde la Región del BioBío hasta la región de Magallanes.;;
2035;27758;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA;CARABINEROS DE CHILE; ;4.263,5;PÚBLICO;1310110027;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_buen_estado;No_hay;No_hay;No_hay;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;Bueno;Si;Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m,Estrato_alto_arbol_más_5m;Regular;04-02-2019;82,00;100,00;70,00;50,00;60,00;77,50;RANGO SUPERIOR;;13;USO;Texto;Tipo de uso identificado en cada plaza o parque, independiente de la propiedad.;PÚBLICO;Plazas o parques de propiedad fiscal, municipal o privada, de uso público, gratuita o pagada.
2036;27759;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA; ; ;464,7;PÚBLICO;1310110028;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_buen_estado;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;Bueno;No;Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m,Estrato_alto_arbol_más_5m;Bueno;31-01-2019;100,00;100,00;60,00;100,00;83,33;86,67;RANGO SUPERIOR;;;;;;PRIVADO;Plazas o parques de propiedad fiscal, municipal o privada, de uso privado, exclusivo para grupos específicos de población que pertenecen a grupos cerrados. Su ingreso puede ser gratuito para dichos grupos o pagado.
2037;27760;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA; ; ;727,4;PÚBLICO;1310110029;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_estado_regular;No_hay;No_hay;No_hay;No_hay;No_hay;No_hay;Hay_general_buen_estado;Bueno;No;Estrato_bajo_20cm_aprox,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m,Estrato_alto_arbol_más_5m;Bueno;30-01-2019;97,00;75,00;60,00;100,00;40,00;71,00;RANGO INTERMEDIO;;14;ID_TEXT;Número;Código identificador de cada conjunto de plaza o parque. Permite identificar todos los registros que forman parte de un conjunto de una determinada plaza o parque, cuando ésta se encuentra en distintas manzanas divididas por calles.;;
2038;27761;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA; ; ;717,7;PÚBLICO;1310110030;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_estado_regular;No_hay;No_hay;No_hay;No_hay;No_hay;No_hay;Hay_general_buen_estado;Malo;No;Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m;Regular;30-01-2019;36,00;75,00;35,00;100,00;40,00;49,50;RANGO INFERIOR;;15;FUENTE;Texto;Base o registro desde donde se obtuvo la existencia de cada plaza o parque.;MINVU;Fuente proveniente de la base cartográfica del Ministerio de Vivienda y Urbanismo.
2039;27764;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PARQUE;O'HIGGINS; ;609.056,6;PÚBLICO;1310110033;MINVU;PARQUE O'HIGGINS;COMUNAL;Area_Verde_Habilitada;Con_cierre_perim_gratuito;0;0;Hay_general_buen_estado;Hay_general_buen_estado;Hay_general_buen_estado;Hay_general_buen_estado;Hay_general_buen_estado;Hay_general_estado_regular;No_hay;Hay_general_buen_estado;Bueno;No;Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m,Estrato_alto_arbol_más_5m;Regular;30-01-2019;81,40;100,00;22,50;100,00;80,00;74,34;RANGO SUPERIOR;;;;;;MUNICIPALIDAD;Fuente informada por Municipalidad.
2040;27768;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA;CENTRAL DE LECHE; ;665,0;PÚBLICO;1310110038;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Con_cierre_perim_gratuito;0;0;Hay_general_buen_estado;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;Bueno;No;Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m;Bueno;31-01-2019;100,00;75,00;45,00;100,00;81,67;76,33;RANGO SUPERIOR;;;;;;RA O FI;Fuente proveniente desde algún registro administrativo (RA) y/o mediante fotointerpretación (FI) de imágenes satelitales.
2041;27769;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA;ARAUCO; ;5.377,3;PÚBLICO;1310110039;MINVU; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_buen_estado;Hay_general_buen_estado;Hay_general_buen_estado;No_hay;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;Bueno;No;Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m,Estrato_alto_arbol_más_5m;Bueno;31-01-2019;100,00;100,00;70,00;100,00;85,00;89,50;RANGO SUPERIOR;;16;NOMBRE_MINVU;Texto;Nombre del espacio público contenido en la base cartográfica del Ministerio de Vivienda y Urbanismo.;;
2042;27770;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PARQUE;CENTENARIO; ;12.735,5;PÚBLICO;1310110040;MINVU;PARQUE CENTENARIO;INTERCOMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_buen_estado;Hay_general_buen_estado;Hay_general_buen_estado;Hay_general_buen_estado;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;Bueno;No;Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m;Bueno;31-01-2019;100,00;75,00;60,00;50,00;80,00;75,25;RANGO SUPERIOR;;17;EXTENSION;Texto;Extensión territorial de la plaza o parque en relación a los límites comunales.;COMUNAL;El conjunto de registros de una plaza o parque se encuentra dentro de los límites de una comuna determinada.
2043;27773;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA;PEDRO MONTT; ;1.553,9;PÚBLICO;1310110043;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;No_hay;No_hay;No_hay;No_hay;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;Bueno;No;Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_alto_arbol_más_5m;Bueno;30-01-2019;100,00;75,00;57,50;100,00;60,00;75,13;RANGO SUPERIOR;;;;;;INTERCOMUNAL;El conjunto de registros de una plaza o parque se encuentra en más de una comuna.
2044;27774;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA;LIRA; ;710,4;PÚBLICO;1310110046;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_buen_estado;No_hay;No_hay;No_hay;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;Bueno;No;Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m,Estrato_alto_arbol_más_5m;Regular;30-01-2019;80,50;100,00;60,00;100,00;80,00;81,13;RANGO SUPERIOR;;18;Aplicabili;Texto;Aplicabilidad indica si el registro de plaza o parque se encontraba habilitado para aplicar la encuesta de calidad en terreno en el momento de la visita, es decir, que el enumerador pudo levantar la encuesta sin inconvenientes. Todos los registros con este atributo cuentan con una encuesta de terreno.;Area_Verde_Habilitada;Fue posible levantar la encuesta de calidad en terreno para este registro de plaza o parque en el momento visitado. Registro tiene información de la encuesta.
2045;27775;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA;FREIRE; ;938,8;PÚBLICO;1310110047;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_estado_regular;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;Bueno;No;Estrato_alto_arbol_más_5m;Bueno;30-01-2019;98,80;25,00;60,00;100,00;81,67;67,28;RANGO INTERMEDIO;;;;;;Area_Verde_NO_Habilitada;No fue posible levantar la encuesta de calidad en terreno para este registro de plaza o parque en el momento visitado. Registro no tiene información de la encuesta.
2046;27776;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA;MERCADO MATADERO; ;646,6;PÚBLICO;1310110048;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;No_hay;No_hay;No_hay;No_hay;No_hay;No_hay;No_hay;No_hay;Regular;No;Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m,Estrato_alto_arbol_más_5m;Bueno;31-01-2019;80,00;100,00;60,00;50,00;21,67;66,83;RANGO INTERMEDIO;;;;;;No_visitado;Registro de plaza o parque no visitado en terreno, por lo tanto, no tiene información de la encuesta de calidad.
2047;27777;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA; ; ;917,1;PÚBLICO;1310110050;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_buen_estado;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;Bueno;No;Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_alto_arbol_más_5m;Regular;30-01-2019;82,00;75,00;70,00;100,00;81,67;78,08;RANGO SUPERIOR;;19;Cierres;Texto;Indica la presencia de cierres perimetrales en la plaza o parque. Por cierres perimetrales se entiende cualquier instalación de tipo reja, con elementos verticales, horizontales o cruzados que tiene un objetivo de barrera para impedir el ingreso libre de las personas al interior de la plaza o parque, en cualquier horario y día. La instalación debe estar presente en todo el perímetro o borde de la plaza o parque.;Sin_cierre_perimetral;Plaza o parque no tiene cierre perimetral.
2048;27779;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA;CARLOS PEZOA; ;1.376,0;PÚBLICO;1310110052;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_buen_estado;No_hay;No_hay;No_hay;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;Bueno;No;Estrato_bajo_20cm_aprox,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m,Estrato_alto_arbol_más_5m;Bueno;31-01-2019;100,00;75,00;60,00;100,00;41,67;72,08;RANGO INTERMEDIO;;;;;;Con_cierre_perim_gratuito;Plaza o parque tiene cierre perimetral pero el ingreso es gratuito.
2049;27782;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA;MARÍA GRISELDA; ;560,8;PÚBLICO;1310110055;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_buen_estado;No_hay;No_hay;No_hay;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;Bueno;No;Estrato_alto_arbol_más_5m;Bueno;30-01-2019;100,00;25,00;70,00;100,00;61,67;66,08;RANGO INTERMEDIO;;;;;;Con_cierre_perim_pagado;Plaza o parque tiene cierre perimetral pero el ingreso es pagado.
2050;27786;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA;KIEV; ;3.123,0;PÚBLICO;1310110060;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_buen_estado;No_hay;No_hay;No_hay;No_hay;No_hay;No_hay;Hay_general_estado_regular;Regular;Si;Ninguno_anteriores;Malo;30-01-2019;48,50;0,00;47,50;30,00;40,00;33,50;RANGO INFERIOR;;;;;;SIN INFORMACIÓN;Registros de plazas y parques sin encuesta de calidad.
2051;27789;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA;DE BOLSILLO TEATINOS; ;2.231,9;PÚBLICO;1310110063;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Con_cierre_perim_gratuito;0;0;Hay_general_buen_estado;No_hay;No_hay;No_hay;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;Bueno;No;Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m,Estrato_alto_arbol_más_5m;Bueno;30-01-2019;99,00;100,00;47,50;100,00;83,33;83,29;RANGO SUPERIOR;;20;Valor_pers;Texto;Valor de ingreso por persona.; ≠ S/I                                                         ;Valor de ingreso por persona o por vehículo.                                                                                                                             
18403;27790;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA;CONGRESO; ;1.100,5;PÚBLICO;1310110064;RA O FI; ;COMUNAL;Area_Verde_NO_Habilitada;SIN INFORMACIÓN;S/I;S/I;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;30-01-2019;-1,00;-1,00;-1,00;-1,00;-1,00;-1,00;SIN INFORMACIÓN;;21;Valor_veh;Texto;Valor de ingreso por vehículo móvil.; = S/I;Sin información. Para registros de plazas y parques sin encuesta de calidad.
2052;27797;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA;MELIPILLA; ;4.027,7;PÚBLICO;1310110074;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_buen_estado;Hay_general_buen_estado;No_hay;No_hay;No_hay;No_hay;No_hay;Hay_general_buen_estado;Bueno;No;Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m;Bueno;31-01-2019;100,00;75,00;60,00;100,00;41,67;72,08;RANGO INTERMEDIO;;22;Bancas_escanos;Texto;Presencia de bancas o escaños.;Hay_general_buen_estado;Existe el equipamiento o infraestructura y se encuentra, en general, en buen estado de mantención.
2053;27798;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA;MELIPILLA NORTE; ;573,5;PÚBLICO;1310110075;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_buen_estado;No_hay;No_hay;No_hay;No_hay;No_hay;No_hay;Hay_general_buen_estado;Bueno;No;Estrato_bajo_20cm_aprox,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m;Malo;31-01-2019;68,50;50,00;60,00;100,00;40,00;57,63;RANGO INFERIOR;;28;Maquinas_ejerc;Texto;Presencia de máquinas de ejercicio.;Hay_mayoria_mal_estado;Existe el equipamiento o infraestructura y se encuentra, en general, en mal estado de mantención.
2054;27806;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA; ; ;673,4;PÚBLICO;1310110083;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_buen_estado;No_hay;No_hay;No_hay;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;Bueno;No;Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m,Estrato_alto_arbol_más_5m;No_aplica;30-01-2019;55,00;75,00;60,00;100,00;60,00;64,50;RANGO INTERMEDIO;;31;Infraest_deportiva;Texto;Presencia de infraestructura deportiva.;No_hay;No existe el equipamiento o infraestructura.
2055;27808;13101;METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;131011;SANTIAGO;PLAZA; ; ;486,9;PÚBLICO;1310110086;RA O FI; ;COMUNAL;Area_Verde_Habilitada;Sin_cierre_perimetral;0;0;Hay_general_buen_estado;No_hay;No_hay;No_hay;Hay_general_buen_estado;No_hay;No_hay;Hay_general_buen_estado;Bueno;No;Estrato_bajo_20cm_aprox,Estrato_medio_arbusto_arboles_20cm_a_1_5,Estrato_medio_alto_Arbusto_alto_arbol_bajo_1_5m_a_5m;Bueno;01-02-2019;100,00;75,00;60,00;100,00;63,33;76,42;RANGO SUPERIOR;;32;Cancha_Skatepark;Texto;Presencia de cancha de Skatepark.;;
