Comuna;Rk_IPS_2022;IPS_2022;Categoria_IPS_2022;Rk_IPS_2020;IPS_2020;Indicador;Valor
Lo Prado;11;7484;Media Alta Prioridad Social;11;7771;Ingreso_imponible_AFC_2020;6875740
San Joaquín;12;7446;Media Alta Prioridad Social;13;7687;Ingreso_imponible_AFC_2020;7724400
La Granja;13;7389;Media Alta Prioridad Social;15;7637;Ingreso_imponible_AFC_2020;6796360
Isla de Maipo;14;7363;Media Alta Prioridad Social;8;7954;Ingreso_imponible_AFC_2020;8035450
Melipilla;15;733;Media Alta Prioridad Social;12;7693;Ingreso_imponible_AFC_2020;7022380
Estación Central;16;7279;Media Alta Prioridad Social;25;7167;Ingreso_imponible_AFC_2020;7400390
Renca;17;7275;Media Alta Prioridad Social;23;7285;Ingreso_imponible_AFC_2020;7094070
Til-Til;18;7264;Media Alta Prioridad Social;22;7309;Ingreso_imponible_AFC_2020;8660470
Recoleta;19;7239;Media Alta Prioridad Social;14;766;Ingreso_imponible_AFC_2020;7481370
San Bernardo;20;7145;Media Alta Prioridad Social;16;7573;Ingreso_imponible_AFC_2020;7852320
Alhué;21;7097;Media Alta Prioridad Social;31;6883;Ingreso_imponible_AFC_2020;8281210
Quinta Normal;22;7045;Media Alta Prioridad Social;21;7317;Ingreso_imponible_AFC_2020;7540500
Curacaví;23;7027;Media Alta Prioridad Social;10;7815;Ingreso_imponible_AFC_2020;7994700
Paine;24;6932;Media Alta Prioridad Social;20;7393;Ingreso_imponible_AFC_2020;6974400
San José de Maipo;25;6841;Media Alta Prioridad Social;18;7496;Ingreso_imponible_AFC_2020;9527110
Independencia;26;6631;Media Baja Prioridad Social;24;722;Ingreso_imponible_AFC_2020;7186220
Buin;27;6628;Media Baja Prioridad Social;19;7472;Ingreso_imponible_AFC_2020;8898860
Pudahuel;28;6624;Media Baja Prioridad Social;33;6764;Ingreso_imponible_AFC_2020;8446960
Padre Hurtado;29;6559;Media Baja Prioridad Social;26;7094;Ingreso_imponible_AFC_2020;8730360
Cerrillos;30;6493;Media Baja Prioridad Social;32;6781;Ingreso_imponible_AFC_2020;8223180
Talagante;31;641;Media Baja Prioridad Social;35;6687;Ingreso_imponible_AFC_2020;8698620
Lampa;32;6363;Media Baja Prioridad Social;28;7015;Ingreso_imponible_AFC_2020;9612600
Peñaflor;33;6362;Media Baja Prioridad Social;29;6977;Ingreso_imponible_AFC_2020;8795620
La Cisterna;34;6298;Media Baja Prioridad Social;27;7021;Ingreso_imponible_AFC_2020;8634000
Pirque;35;6204;Media Baja Prioridad Social;37;6506;Ingreso_imponible_AFC_2020;9305180
Puente Alto;36;6188;Media Baja Prioridad Social;34;6698;Ingreso_imponible_AFC_2020;8649590
Calera de Tango;37;6069;Media Baja Prioridad Social;38;6466;Ingreso_imponible_AFC_2020;8822610
Peñalolén;38;6015;Media Baja Prioridad Social;36;6619;Ingreso_imponible_AFC_2020;10256590
La Florida;39;5971;Media Baja Prioridad Social;39;6422;Ingreso_imponible_AFC_2020;9952390
Maipú;40;5848;Baja Prioridad Social;41;6086;Ingreso_imponible_AFC_2020;9359030
Santiago;41;5702;Baja Prioridad Social;46;552;Ingreso_imponible_AFC_2020;10012460
Quilicura;42;5602;Baja Prioridad Social;42;5869;Ingreso_imponible_AFC_2020;8630210
Colina;43;5273;Baja Prioridad Social;40;6182;Ingreso_imponible_AFC_2020;12810690
Huechuraba;44;5217;Baja Prioridad Social;45;566;Ingreso_imponible_AFC_2020;12657860
San Miguel;45;5209;Baja Prioridad Social;44;5663;Ingreso_imponible_AFC_2020;11587650
Macul;46;4957;Baja Prioridad Social;43;5763;Ingreso_imponible_AFC_2020;10361190
Ñuñoa;47;3382;Sin Prioridad Social;47;4096;Ingreso_imponible_AFC_2020;15680290
La Reina;48;3086;Sin Prioridad Social;48;3835;Ingreso_imponible_AFC_2020;15876170
Lo Barnechea;49;2532;Sin Prioridad Social;49;3508;Ingreso_imponible_AFC_2020;17819180
Providencia;50;2162;Sin Prioridad Social;50;2491;Ingreso_imponible_AFC_2020;17977510
Las Condes;51;1307;Sin Prioridad Social;51;1164;Ingreso_imponible_AFC_2020;19354730
Vitacura;52;384;Sin Prioridad Social;52;794;Ingreso_imponible_AFC_2020;21280230
